"","Date","Count","Package","Cumulative","Label"
"1","2008-09-08",1,NA,1,""
"2","2008-10-28",1,NA,2,""
"3","2010-06-25",1,NA,3,""
"4","2010-07-07",1,NA,4,""
"5","2010-10-01",1,NA,5,""
"6","2011-08-18",1,NA,6,""
"7","2011-09-07",1,NA,7,""
"8","2011-11-03",1,NA,8,""
"9","2011-12-01",1,NA,9,""
"10","2011-12-28",1,NA,10,""
"11","2012-01-28",1,NA,11,""
"12","2012-03-01",1,NA,12,""
"13","2012-03-04",1,NA,13,""
"14","2012-03-16",1,NA,14,""
"15","2012-03-19",1,NA,15,""
"16","2012-04-03",1,NA,16,""
"17","2012-04-10",1,NA,17,""
"18","2012-04-12",1,NA,18,""
"19","2012-05-05",1,NA,19,""
"20","2012-05-14",1,NA,20,""
"21","2012-05-18",1,NA,21,""
"22","2012-06-01",1,NA,22,""
"23","2012-06-11",1,NA,23,""
"24","2012-06-15",1,NA,24,""
"25","2012-06-21",1,NA,25,""
"26","2012-07-06",1,NA,26,""
"27","2012-07-20",1,NA,27,""
"28","2012-07-23",1,NA,28,""
"29","2012-07-31",1,NA,29,""
"30","2012-08-21",1,NA,30,""
"31","2012-08-22",1,NA,31,""
"32","2012-08-23",1,NA,32,""
"33","2012-08-30",1,NA,33,""
"34","2012-09-06",1,NA,34,""
"35","2012-09-19",1,NA,35,""
"36","2012-10-01",1,NA,36,""
"37","2012-10-03",1,NA,37,""
"38","2012-10-29",12,NA,49,""
"39","2012-10-30",1,NA,50,""
"40","2012-11-01",1,NA,51,""
"41","2012-11-02",1,NA,52,""
"42","2012-12-03",1,NA,53,""
"43","2012-12-17",1,NA,54,""
"44","2012-12-19",1,NA,55,""
"45","2013-01-05",1,NA,56,""
"46","2013-01-13",1,NA,57,""
"47","2013-01-25",1,NA,58,""
"48","2013-02-23",1,NA,59,""
"49","2013-02-28",1,NA,60,""
"50","2013-03-14",1,NA,61,""
"51","2013-03-19",1,NA,62,""
"52","2013-04-05",1,NA,63,""
"53","2013-05-09",1,NA,64,""
"54","2013-05-11",1,NA,65,""
"55","2013-05-16",1,NA,66,""
"56","2013-05-17",1,NA,67,""
"57","2013-06-04",2,NA,69,""
"58","2013-06-08",1,NA,70,""
"59","2013-06-10",1,NA,71,""
"60","2013-06-13",1,NA,72,""
"61","2013-07-14",1,NA,73,""
"62","2013-07-16",1,NA,74,""
"63","2013-07-21",1,NA,75,""
"64","2013-07-23",1,NA,76,""
"65","2013-07-28",1,NA,77,""
"66","2013-07-31",2,NA,79,""
"67","2013-08-23",1,NA,80,""
"68","2013-09-07",1,NA,81,""
"69","2013-09-10",1,NA,82,""
"70","2013-09-16",1,NA,83,""
"71","2013-09-23",2,NA,85,""
"72","2013-09-25",1,NA,86,""
"73","2013-09-30",1,NA,87,""
"74","2013-10-11",1,NA,88,""
"75","2013-10-13",1,NA,89,""
"76","2013-10-22",1,NA,90,""
"77","2013-10-29",1,NA,91,""
"78","2013-11-04",1,NA,92,""
"79","2013-11-06",1,NA,93,""
"80","2013-11-14",1,NA,94,""
"81","2013-11-16",1,NA,95,""
"82","2013-11-22",1,NA,96,""
"83","2013-11-23",1,NA,97,""
"84","2013-11-28",1,NA,98,""
"85","2013-11-29",1,NA,99,""
"86","2013-12-03",1,NA,100,""
"87","2013-12-05",1,NA,101,""
"88","2013-12-07",1,NA,102,""
"89","2013-12-11",1,NA,103,""
"90","2013-12-12",1,NA,104,""
"91","2013-12-17",1,NA,105,""
"92","2013-12-18",2,NA,107,""
"93","2013-12-24",1,NA,108,""
"94","2013-12-26",1,NA,109,""
"95","2013-12-30",1,NA,110,""
"96","2014-01-17",1,NA,111,""
"97","2014-01-19",1,NA,112,""
"98","2014-01-26",1,NA,113,""
"99","2014-02-07",1,NA,114,""
"100","2014-02-17",1,NA,115,""
"101","2014-02-20",1,NA,116,""
"102","2014-02-21",2,NA,118,""
"103","2014-02-22",2,NA,120,""
"104","2014-02-24",1,NA,121,""
"105","2014-03-02",1,NA,122,""
"106","2014-03-04",1,NA,123,""
"107","2014-03-09",1,NA,124,""
"108","2014-03-10",1,NA,125,""
"109","2014-03-11",1,NA,126,""
"110","2014-03-12",2,NA,128,""
"111","2014-03-15",1,NA,129,""
"112","2014-03-19",1,NA,130,""
"113","2014-03-25",1,NA,131,""
"114","2014-04-03",1,NA,132,""
